date,city, pm25, pm10, o3, no2, so2, co
2025/3/2,boston, 26, 6, 31, 5, , 2
2025/3/3,boston, 14, 9, 30, 15, , 2
2025/3/4,boston, 19, 18, 33, 16, , 3
2025/3/5,boston, 37, 14, 32, 10, , 1
2025/3/6,boston, 29, 7, 32, 8, , 2
2025/3/7,boston, 17, 6, 34, 4, , 2
2025/3/8,boston, 8, 5, 32, 6, , 2
2025/3/9,boston, 9, 5, 32, 7, , 3
2025/3/10,boston, 14, 11, 33, 20, , 4
2025/3/11,boston, 20, 14, 39, 21, , 4
2025/3/12,boston, 28, 9, 31, 9, , 1
2025/3/13,boston, 15, 14, 30, 8, , 1
2025/3/14,boston, 17, 15, 26, 7, , 
2025/3/15,boston, 26, , , , , 
2025/2/2,boston, 26, 15, 24, 15, , 2
2025/2/3,boston, 27, 13, 20, 18, , 3
2025/2/4,boston, 50, 11, 28, 10, , 3
2025/2/5,boston, 22, 12, 26, 12, , 3
2025/2/6,boston, 17, 22, 17, 25, , 4
2025/2/7,boston, 32, 15, 26, 11, , 3
2025/2/8,boston, 31, 19, 29, 13, , 3
2025/2/9,boston, 24, 7, 29, 15, , 3
2025/2/10,boston, 32, 12, 27, 17, , 3
2025/2/11,boston, 35, 32, 27, 22, , 4
2025/2/12,boston, 45, 19, 30, 15, , 2
2025/2/13,boston, 35, 10, 29, 12, , 2
2025/2/14,boston, 22, 9, 30, 9, , 2
2025/2/15,boston, 14, 9, 26, 13, , 2
2025/2/16,boston, 18, 6, 27, 12, , 2
2025/2/17,boston, 19, 10, 32, 5, , 2
2025/2/18,boston, 16, 11, 28, 7, , 2
2025/2/19,boston, 18, 12, 23, 11, , 3
2025/2/20,boston, 22, 13, 21, 16, , 3
2025/2/21,boston, 23, 7, 28, 8, , 2
2025/2/22,boston, 14, 9, 31, 13, , 4
2025/2/23,boston, 18, 15, 34, 12, , 4
2025/2/24,boston, 42, 18, 35, 16, , 3
2025/2/25,boston, 51, 22, 34, 17, , 3
2025/2/26,boston, 45, 10, 30, 12, , 3
2025/2/27,boston, 23, 16, 31, 17, , 3
2025/2/28,boston, 37, 8, 29, 11, , 2
2025/3/1,boston, 16, 14, 32, 7, , 2
2025/1/2,boston, 20, 3, 26, 4, , 1
2025/1/3,boston, 6, 5, 21, 5, , 2
2025/1/4,boston, 12, 3, 26, 6, , 2
2025/1/5,boston, 9, 4, 26, 6, , 2
2025/1/6,boston, 9, 7, 21, 11, , 2
2025/1/7,boston, 13, 10, 22, 7, , 2
2025/1/8,boston, 12, 8, 23, 7, , 2
2025/1/9,boston, 10, 11, 25, 6, , 2
2025/1/10,boston, 11, 6, 25, 12, , 3
2025/1/11,boston, 11, 9, 20, 20, , 4
2025/1/12,boston, 32, 18, 28, 15, , 5
2025/1/13,boston, 38, 29, 20, 23, , 5
2025/1/14,boston, 55, 14, 25, 10, , 2
2025/1/15,boston, 24, 10, 27, 10, , 2
2025/1/16,boston, 17, 15, 20, 18, , 3
2025/1/17,boston, 29, 31, 18, 21, , 5
2025/1/18,boston, 60, 18, 20, 18, , 3
2025/1/19,boston, 49, 8, 20, 14, , 3
2025/1/20,boston, 28, 14, 26, 12, , 2
2025/1/21,boston, 36, 47, 22, 19, , 3
2025/1/22,boston, 58, 49, 22, 22, , 4
2025/1/23,boston, 56, 40, 24, 24, , 4
2025/1/24,boston, 53, 39, 22, 20, , 4
2025/1/25,boston, 57, 23, 25, 18, , 4
2025/1/26,boston, 43, 20, 29, 15, , 3
2025/1/27,boston, 42, 16, 29, 16, , 3
2025/1/28,boston, 22, 14, 29, 12, , 2
2025/1/29,boston, 19, 15, 29, 14, , 3
2025/1/30,boston, 30, 27, 29, 14, , 3
2025/1/31,boston, 20, 14, 17, 23, , 4
2025/2/1,boston, 37, 11, 30, 11, , 2
2024/10/2,boston, 24, 14, 21, 8, , 3
2024/10/3,boston, 21, 15, 25, 13, , 4
2024/10/4,boston, 24, 15, 28, 11, , 3
2024/10/5,boston, 28, 10, 26, 11, , 3
2024/10/6,boston, 22, 10, 10, 13, , 4
2024/10/7,boston, 26, 8, 11, 12, , 3
2024/10/8,boston, 21, 11, 21, 12, , 3
2024/10/9,boston, 18, 10, 26, 14, , 2
2024/10/10,boston, 16, 6, 18, 7, , 2
2024/10/11,boston, 9, 8, 20, 9, , 3
2024/10/12,boston, 13, 12, 30, 8, , 3
