date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,pm25
2025-01-02,72.3,47.1,56.4,72.3,47.1,56.4,42.4,62.5,0.0,0,0.0,0,0,10.7,8.7,283.0,1018.3,8.1,8.7,131.6,11.4,5,0.1,,95
2025-01-03,61.9,49.5,54.3,61.9,49.3,54.3,47.7,79.0,0.0,0,0.0,0,0,13.9,10.1,269.7,1017.9,49.7,5.4,91.9,7.9,4,0.14,,67
2025-01-04,61.9,48.8,55.5,61.9,48.8,55.5,46.4,72.2,0.0,0,0.0,0,0,12.5,8.1,203.3,1018.9,28.7,7.7,110.0,9.5,5,0.17,,80
2025-01-05,74.1,46.9,58.8,74.1,46.9,58.8,36.2,47.2,0.0,0,0.0,0,0,18.3,9.3,306.1,1019.5,7.6,9.5,129.1,11.3,5,0.21,,88
2025-01-06,72.0,48.9,59.2,72.0,48.9,59.2,39.7,50.9,0.0,0,0.0,0,0,15.4,9.9,256.6,1017.1,11.2,9.9,131.9,11.5,5,0.25,,47
2025-01-07,72.0,50.9,61.6,72.0,50.9,61.6,36.8,47.1,0.0,0,0.0,0,0,62.2,28.9,24.8,1014.3,22.3,9.4,116.2,10.0,5,0.28,,36
2025-01-08,72.5,55.8,63.7,72.5,55.8,63.7,21.7,19.9,0.0,0,0.0,0,0,42.6,13.4,10.0,1018.7,60.4,8.8,69.5,6.1,4,0.32,,52
2025-01-09,68.2,46.4,56.5,68.2,46.4,56.5,25.9,32.1,0.0,0,0.0,0,0,14.3,7.4,322.5,1019.4,29.2,8.5,79.0,6.9,3,0.35,,177
2025-01-10,69.4,46.5,57.7,69.4,45.5,57.7,28.6,34.8,0.0,0,0.0,0,0,17.0,8.7,262.3,1024.3,14.5,9.4,129.7,11.2,5,0.39,,159
2025-01-11,65.7,47.1,56.1,65.7,47.1,56.0,35.6,46.4,0.0,0,0.0,0,0,24.2,8.3,330.7,1017.0,13.6,9.7,132.4,11.3,5,0.42,,101
2025-01-12,68.4,48.1,56.3,68.4,48.1,56.3,27.9,36.2,0.0,0,0.0,0,0,18.3,11.7,255.2,1017.8,1.7,9.9,140.5,12.2,6,0.46,,84
2025-01-13,66.9,43.8,55.0,66.9,43.8,55.0,21.4,28.7,0.0,0,0.0,0,0,24.2,9.4,18.9,1022.1,1.7,9.9,139.8,12.1,6,0.5,,45
2025-01-14,65.3,42.4,53.8,65.3,42.4,53.7,22.1,29.9,0.0,0,0.0,0,0,13.0,8.9,292.5,1024.5,1.1,9.8,143.7,12.4,6,0.53,,41
2025-01-15,71.8,44.1,56.6,71.8,44.1,56.6,24.9,31.2,0.0,0,0.0,0,0,13.0,9.3,246.2,1022.6,0.0,9.7,143.8,12.4,6,0.56,,37
2025-01-16,66.9,47.4,55.5,66.9,47.4,55.5,30.1,41.4,0.0,0,0.0,0,0,19.2,13.6,265.2,1020.8,3.5,9.9,143.8,12.5,6,0.59,,40
2025-01-17,60.9,46.7,53.3,60.9,46.7,53.3,43.3,69.3,0.0,0,0.0,0,0,18.3,8.7,266.0,1022.4,35.8,9.8,123.4,10.5,6,0.63,,39
2025-01-18,60.9,47.8,53.8,60.9,47.8,53.8,44.8,72.5,0.0,0,0.0,0,0,16.3,10.4,275.5,1023.2,31.3,9.4,122.3,10.6,6,0.66,,46
