date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,pm25
2020-01-02,68.7,51.4,58.7,68.7,51.4,58.7,48.4,69.6,0.0,0,0.0,0,0,11.6,6.9,73.4,1014.6,8.8,8.7,121.4,10.4,5,0.25,1,63
2020-01-03,74.2,51.7,61.1,74.2,51.7,61.1,42.0,53.0,0.0,0,0.0,0,0,10.5,5.1,305.6,1022.6,2.2,9.8,129.1,11.2,5,0.28,1,63
2020-01-04,70.5,49.6,58.5,70.5,49.6,58.5,45.3,63.6,0.0,0,0.0,0,0,11.0,4.1,285.4,1025.9,1.2,8.7,135.5,11.8,5,0.31,1,54
2020-01-05,70.5,48.7,58.1,70.5,48.7,58.1,42.7,59.1,0.0,0,0.0,0,0,18.3,5.4,311.2,1024.2,2.2,9.3,136.5,11.6,6,0.34,1,68
2020-01-06,78.3,48.0,62.7,78.3,48.0,62.7,31.0,34.9,0.0,0,0.0,0,0,14.5,4.6,11.7,1024.1,0.5,9.9,144.8,12.7,6,0.37,1,62
2020-01-07,77.9,55.8,63.7,77.9,55.8,63.7,30.1,32.3,0.0,0,0.0,0,0,12.5,4.8,12.6,1019.1,1.7,9.9,124.7,10.6,5,0.4,1,40
2020-01-08,64.6,52.7,57.8,64.6,52.7,57.8,47.0,68.1,0.0,0,0.0,0,0,36.7,6.1,65.9,1015.4,22.7,9.3,115.2,10.0,6,0.44,2,28
2020-01-09,62.5,52.1,57.1,62.5,52.1,57.1,42.3,58.3,0.0,0,0.0,0,0,21.9,7.9,289.5,1014.6,43.6,9.6,94.1,8.1,4,0.47,2,49
2020-01-10,65.8,47.8,56.0,65.8,47.8,56.0,42.2,61.2,0.0,0,0.0,0,0,10.5,6.2,12.5,1022.1,0.8,9.8,141.0,12.3,6,0.5,1,45
2020-01-11,64.5,46.2,55.0,64.5,46.2,55.0,44.1,67.3,0.0,0,0.0,0,0,11.6,4.8,36.2,1020.3,26.1,9.5,112.0,9.7,5,0.54,2,47
2020-01-12,64.5,50.5,56.3,64.5,50.5,56.3,44.2,65.3,0.0,0,0.0,0,0,16.6,8.0,265.9,1018.1,17.2,9.1,130.7,11.4,5,0.57,1,55
2020-01-13,64.5,48.9,56.3,64.5,48.9,56.3,44.9,66.7,0.0,0,0.0,0,0,11.6,5.2,259.4,1018.9,30.7,8.0,111.7,9.7,5,0.61,2,58
2020-01-14,63.7,47.8,55.3,63.7,47.8,55.3,44.7,68.4,0.0,0,0.0,0,0,13.4,5.2,279.9,1019.0,9.1,8.3,128.0,11.1,5,0.64,1,61
