name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2024-12-31,61.2,49.4,53.6,61.2,48.8,53.6,47.8,81.2,0,0,0,,0,0,13.9,6.8,312.2,1017.5,54.4,3.9,77.7,6.7,4,,2024-12-31T06:58:38,2024-12-31T16:54:17,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-01,61.9,46.2,54.4,61.9,44.2,54.3,46.5,75.7,0,0,0,,0,0,15.4,9.5,246.3,1018.6,33.4,6.3,128.3,11.1,5,,2025-01-01T06:58:50,2025-01-01T16:55:02,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-02,72.3,47.1,56.4,72.3,47.1,56.4,42.4,62.5,0,0,0,,0,0,10.7,8.7,283,1018.3,8.1,8.7,131.6,11.4,5,,2025-01-02T06:59:00,2025-01-02T16:55:49,0.1,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-03,61.9,49.5,54.3,61.9,49.3,54.3,47.7,79,0,0,0,,0,0,13.9,10.1,269.7,1017.9,49.7,5.4,91.9,7.9,4,,2025-01-03T06:59:08,2025-01-03T16:56:36,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-04,61.9,48.8,55.5,61.9,48.8,55.5,46.4,72.2,0,0,0,,0,0,12.5,8.1,203.3,1018.9,28.7,7.7,110,9.5,5,,2025-01-04T06:59:14,2025-01-04T16:57:24,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-05,74.1,46.9,58.8,74.1,46.9,58.8,36.2,47.2,0,0,0,,0,0,18.3,9.3,306.1,1019.5,7.6,9.5,129.1,11.3,5,,2025-01-05T06:59:19,2025-01-05T16:58:14,0.21,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-06,72,48.9,59.2,72,48.9,59.2,39.7,50.9,0,0,0,,0,0,15.4,9.9,256.6,1017.1,11.2,9.9,131.9,11.5,5,,2025-01-06T06:59:21,2025-01-06T16:59:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-07,72,50.9,61.6,72,50.9,61.6,36.8,47.1,0,0,0,,0,0,62.2,28.9,24.8,1014.3,22.3,9.4,116.2,10,5,,2025-01-07T06:59:22,2025-01-07T16:59:56,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-08,72.5,55.8,63.7,72.5,55.8,63.7,21.7,19.9,0,0,0,,0,0,42.6,13.4,10,1018.7,60.4,8.8,69.5,6.1,4,,2025-01-08T06:59:21,2025-01-08T17:00:48,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-09,68.2,46.4,56.5,68.2,46.4,56.5,25.9,32.1,0,0,0,,0,0,14.3,7.4,322.5,1019.4,29.2,8.5,79,6.9,3,,2025-01-09T06:59:18,2025-01-09T17:01:41,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-01-10,69.4,46.5,57.7,69.4,45.5,57.7,28.6,34.8,0,0,0,,0,0,17,8.7,262.3,1024.3,14.5,9.4,129.7,11.2,5,,2025-01-10T06:59:13,2025-01-10T17:02:34,0.39,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-11,65.7,47.1,56.1,65.7,47.1,56,35.6,46.4,0,0,0,,0,0,24.2,8.3,330.7,1017,13.6,9.7,132.4,11.3,5,,2025-01-11T06:59:06,2025-01-11T17:03:29,0.42,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-01-12,68.4,48.1,56.3,68.4,48.1,56.3,27.9,36.2,0,0,0,,0,0,18.3,11.7,255.2,1017.8,1.7,9.9,140.5,12.2,6,,2025-01-12T06:58:58,2025-01-12T17:04:24,0.46,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-13,66.9,43.8,55,66.9,43.8,55,21.4,28.7,0,0,0,,0,0,24.2,9.4,18.9,1022.1,1.7,9.9,139.8,12.1,6,,2025-01-13T06:58:47,2025-01-13T17:05:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-14,65.3,42.4,53.8,65.3,42.4,53.7,22.1,29.9,0,0,0,,0,0,13,8.9,292.5,1024.5,1.1,9.8,143.7,12.4,6,,2025-01-14T06:58:35,2025-01-14T17:06:16,0.53,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-15,71.8,44.1,56.6,71.8,44.1,56.6,24.9,31.2,0,0,0,,0,0,13,9.3,246.2,1022.6,0,9.7,143.8,12.4,6,,2025-01-15T06:58:21,2025-01-15T17:07:12,0.56,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-16,66.9,47.4,55.5,66.9,47.4,55.5,30.1,41.4,0,0,0,,0,0,19.2,13.6,265.2,1020.8,3.5,9.9,143.8,12.5,6,,2025-01-16T06:58:05,2025-01-16T17:08:10,0.59,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-17,60.9,46.7,53.3,60.9,46.7,53.3,43.3,69.3,0,0,0,,0,0,18.3,8.7,266,1022.4,35.8,9.8,123.4,10.5,6,,2025-01-17T06:57:47,2025-01-17T17:09:07,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-18,60.9,47.8,53.8,60.9,47.8,53.8,44.8,72.5,0,0,0,,0,0,16.3,10.4,275.5,1023.2,31.3,9.4,122.3,10.6,6,,2025-01-18T06:57:27,2025-01-18T17:10:05,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-01-19,57.8,45.6,52.1,57.8,45.6,52.1,44.7,76.1,0,0,0,,0,0,17.2,10.2,242.5,1021.8,66.8,8.2,104.6,9,5,,2025-01-19T06:57:06,2025-01-19T17:11:04,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-20,69.7,49.4,58.6,69.7,49.4,58.6,30.8,42.4,0,0,0,,0,0,39.1,16.6,45.3,1022.1,29.2,9.2,149.4,12.9,6,,2025-01-20T06:56:42,2025-01-20T17:12:02,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-21,70.7,44,56.9,70.7,44,56.8,17,21.6,0,0,0,,0,0,36.9,8.2,336.6,1028.3,7.7,9.9,153.6,13.4,6,,2025-01-21T06:56:17,2025-01-21T17:13:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-22,75.2,51.1,61.8,75.2,51.1,61.8,16.7,17.3,0,0,0,,0,0,13.4,5.4,328.8,1023,16.5,9.7,119.3,10.5,5,,2025-01-22T06:55:51,2025-01-22T17:14:00,0.79,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-23,79.4,50,63.5,79.4,50,63.5,20.8,20,0,0,0,,0,0,20.8,10,261.4,1023.7,2.3,9.8,159.1,13.9,6,,2025-01-23T06:55:22,2025-01-23T17:14:59,0.82,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-24,71.3,52,59.9,71.3,52,59.9,17.2,20.8,0,0,0,,0,0,15.7,9.7,299.9,1016.9,9.7,9.9,148.6,12.8,6,,2025-01-24T06:54:52,2025-01-24T17:15:59,0.85,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-25,59.5,48,53.6,59.5,47.3,53.5,38.5,57.8,0.058,100,8.33,rain,0,0,25.5,12.1,167.7,1012.2,57.5,9.7,99.4,8.6,5,,2025-01-25T06:54:20,2025-01-25T17:16:58,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-26,53.6,49.8,51.5,53.6,47.7,51.4,45.9,81.2,0.542,100,50,rain,0,0,23,11.7,116.8,1016.4,93.6,9.4,59.6,5.1,2,,2025-01-26T06:53:46,2025-01-26T17:17:58,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-27,58.8,47.1,52.1,58.8,44.3,52,42.9,72.4,0.287,100,16.67,rain,0,0,11.9,12,250.9,1018.7,44.7,9.5,132.1,11.3,6,,2025-01-27T06:53:11,2025-01-27T17:18:58,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-28,59.1,44.8,51.8,59.1,44.8,51.8,42.5,71,0,0,0,,0,0,16.3,9.6,244.9,1017.8,24,9.9,136.3,11.7,6,,2025-01-28T06:52:34,2025-01-28T17:19:57,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-29,60.4,46.9,53.2,60.4,46.9,53.2,44.4,73.3,0,0,0,,0,0,16.1,11.2,260.7,1020.5,25.6,9.8,154.5,13.4,6,,2025-01-29T06:51:56,2025-01-29T17:20:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-30,57.2,49.6,53.1,57.2,49.6,53.1,44.3,72.5,0,0,0,,0,0,10.1,8.7,297.1,1023.5,61.9,9.4,77.3,6.7,4,,2025-01-30T06:51:15,2025-01-30T17:21:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-31,61.4,44.5,52.7,61.4,44.5,52.7,43.5,71.8,0,0,0,,0,0,13.2,11.8,282.2,1023.9,14.2,9.6,142,12.3,6,,2025-01-31T06:50:34,2025-01-31T17:22:56,0.08,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-02-01,66.4,47.3,56.7,66.4,47.3,56.7,47.6,73.5,0,0,0,,0,0,15,11.4,262.7,1020.2,18.3,9,157.5,13.5,6,,2025-02-01T06:49:50,2025-02-01T17:23:56,0.12,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-02,67.1,53.4,58.2,67.1,53.4,58.2,52.6,82.5,0,0,0,,0,0,14.5,9.2,272.6,1018.3,58.1,4.7,160.4,13.8,6,,2025-02-02T06:49:06,2025-02-02T17:24:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-03,61.2,51,55.7,61.2,51,55.7,42.5,65.2,0,0,0,,0,0,13,10.3,241,1014.2,46.6,5.7,147.3,12.7,6,,2025-02-03T06:48:19,2025-02-03T17:25:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
