temp,humidity,precip,windspeed,conditions,cloudcover,visibility,solarradiation,pm25
66.7,72.9,0.0,11.4,2.0,62.0,9.0,302.1,51
69.9,69.6,0.0,11.4,2.0,44.0,9.0,350.8,39
65.0,70.0,0.0,9.2,2.0,51.0,10.0,302.6,54
66.5,70.8,0.0,9.2,2.0,49.0,10.0,335.4,54
80.0,43.2,0.0,6.3,1.0,0.5,8.2,314.0,59
70.5,60.0,0.0,5.4,1.0,2.9,9.8,243.0,42
68.1,71.9,0.0,6.7,2.0,51.7,8.2,312.7,37
74.6,59.6,0.0,11.5,1.0,4.4,5.6,350.3,96
75.1,66.8,0.0,7.3,2.0,35.0,7.0,229.1,69
12.7,60.7,0.0,6.8,1.0,8.3,15.6,121.5,66
9.9,60.1,8.662,19.3,3.0,48.0,15.1,138.6,42
17.4,62.3,0.0,12.0,1.0,6.4,15.0,295.2,61
22.4,68.1,0.427,17.3,4.0,3.1,15.1,301.4,70
18.7,71.1,0.0,10.0,2.0,41.9,13.8,218.0,53
25.1,37.6,0.0,12.6,1.0,0.6,16.0,261.3,65
15.5,68.7,0.0,22.9,1.0,5.9,15.9,261.5,48
21.4,71.1,0.0,11.2,1.0,6.5,16.0,134.4,46
21.8,72.9,0.0,21.5,2.0,48.1,16.0,256.1,40
21.8,72.4,0.0,18.5,1.0,7.7,16.0,231.1,45
17.8,50.5,0.0,16.5,1.0,0.2,16.0,175.8,31
18.0,66.8,0.0,9.1,1.0,4.4,15.4,130.8,58
12.0,72.5,0.879,10.2,3.0,85.6,15.1,145.0,51
15.3,66.5,1.509,16.9,3.0,84.6,13.9,76.1,45
15.6,79.1,0.0,9.5,2.0,46.9,9.0,265.3,60
15.8,78.4,0.0,16.2,2.0,62.5,9.9,283.6,81
18.0,71.9,0.0,15.3,2.0,33.2,15.9,161.0,29
17.9,73.4,0.0,10.0,5.0,99.4,15.9,59.2,41
20.3,63.7,0.0,14.6,1.0,1.8,16.0,212.5,51
13.9,43.2,0.0,9.0,1.0,2.1,16.0,97.3,35
17.8,41.5,0.0,6.9,1.0,3.8,16.0,153.3,41
19.1,76.0,0.0,20.1,2.0,49.2,15.9,196.1,37
16.6,58.5,0.0,27.1,1.0,7.7,16.0,178.4,45
58.6,65.5,0.0,8.2,1.0,2.5,8.1,188.0,63
60.7,71.4,0.029,4.9,3.0,86.3,9.3,45.7,33
70.1,59.3,0.0,7.4,2.0,21.0,4.4,153.7,136
60.7,66.6,0.0,4.2,1.0,1.4,7.9,141.0,57
10.5,75.5,9.713,7.9,3.0,80.0,15.2,57.2,35
22.3,68.5,0.0,26.5,2.0,42.3,14.4,340.3,60
21.1,70.4,0.0,19.3,2.0,39.5,13.3,340.4,60
24.0,61.1,0.0,18.5,1.0,1.1,10.5,306.5,54
20.4,75.0,0.0,9.0,2.0,67.9,15.4,138.7,37
18.0,78.4,0.0,13.0,5.0,98.8,15.3,129.4,52
20.6,28.7,0.0,11.0,1.0,0.0,16.0,175.3,33
16.9,66.3,0.0,20.8,1.0,5.3,15.9,252.5,36
20.5,69.8,0.0,12.0,2.0,28.0,13.5,328.0,58
23.5,59.9,0.0,11.2,1.0,1.7,16.0,273.3,57
23.9,72.2,0.0,14.9,1.0,11.7,15.8,271.0,48
14.0,46.4,0.0,16.7,1.0,2.3,16.0,167.2,23
18.8,37.7,0.0,6.9,1.0,2.5,16.0,63.7,67
14.1,64.5,0.0,7.4,2.0,65.7,15.7,73.5,40
14.3,47.4,0.019,27.8,3.0,55.8,16.0,194.9,52
14.6,41.0,0.0,13.0,1.0,3.3,16.0,207.3,21
24.6,61.9,0.0,12.8,1.0,4.7,15.8,228.6,45
22.8,74.9,0.0,15.2,2.0,27.9,14.9,232.1,37
20.8,67.6,0.0,11.2,1.0,0.7,14.7,157.9,73
19.4,81.5,0.0,14.3,2.0,43.7,9.7,124.4,58
19.6,27.6,0.0,8.8,1.0,3.9,16.0,155.9,34
14.4,68.2,0.0,7.8,1.0,2.4,14.5,129.9,41
14.4,81.9,6.181,14.5,6.0,97.8,13.7,111.8,16
23.0,64.7,0.0,21.2,1.0,12.4,15.7,331.2,52
20.7,68.0,0.0,20.9,1.0,12.3,16.0,295.6,42
22.6,65.6,0.0,19.7,1.0,13.2,16.0,301.8,47
18.6,78.3,0.0,17.3,2.0,77.0,15.6,74.4,72
17.8,51.3,0.0,29.3,1.0,5.9,15.5,170.7,45
14.0,46.5,0.0,15.0,2.0,55.4,12.9,133.0,59
11.9,55.0,0.0,20.0,2.0,37.7,15.9,63.9,33
72.1,58.9,0.0,10.3,2.0,20.0,8.0,353.2,53
66.6,46.7,0.0,6.0,2.0,30.2,9.3,163.8,64
72.7,58.6,0.0,8.8,1.0,3.5,3.5,209.0,151
64.0,50.1,0.0,6.1,1.0,4.6,9.6,153.5,32
13.9,64.1,0.0,10.9,5.0,94.5,16.0,182.2,49
14.0,67.2,0.0,17.1,1.0,1.6,16.0,246.5,47
17.3,70.6,0.0,20.1,2.0,69.4,15.9,200.0,79
20.5,53.9,0.0,16.0,1.0,0.2,15.8,368.6,48
22.3,69.8,0.0,14.6,2.0,27.0,13.7,336.3,71
22.7,68.8,0.0,18.5,1.0,4.4,15.6,330.2,57
18.2,77.1,0.0,7.6,5.0,99.9,15.1,31.7,55
10.7,72.3,0.672,19.3,4.0,18.9,15.3,121.7,36
11.6,79.1,0.0,8.6,2.0,22.8,15.4,112.9,12
16.6,30.7,0.0,16.2,1.0,0.0,16.0,172.8,39
22.4,25.8,0.0,17.3,1.0,2.1,16.0,286.0,34
17.0,72.9,0.0,13.4,2.0,79.1,16.0,138.4,42
20.4,71.8,0.0,12.9,2.0,28.9,16.0,305.1,37
20.6,69.6,0.0,20.5,2.0,32.5,15.9,267.6,41
20.0,58.4,0.0,19.7,1.0,0.4,16.0,309.4,46
24.2,64.4,0.0,14.2,2.0,24.0,16.0,82.3,45
15.2,71.1,0.0,10.7,1.0,6.9,15.8,143.6,46
12.8,66.5,0.161,13.4,4.0,4.8,15.9,156.2,27
17.8,66.1,0.0,12.2,5.0,94.7,16.0,116.8,32
20.1,76.1,0.0,20.9,2.0,38.2,11.3,202.3,72
23.2,69.6,0.0,24.5,1.0,2.8,15.8,223.5,33
24.3,61.1,0.0,14.5,1.0,1.6,14.7,194.0,47
21.0,74.8,0.0,12.1,2.0,80.9,14.4,121.8,39
18.7,30.2,0.0,6.5,1.0,4.7,16.0,100.9,36
16.8,70.4,13.955,20.6,3.0,63.8,14.8,112.3,26
13.1,68.9,0.0,12.8,1.0,2.7,15.8,128.1,61
17.2,38.8,0.0,20.5,1.0,3.0,16.0,263.2,30
17.0,64.4,0.0,16.4,1.0,10.3,16.0,211.6,40
17.1,62.7,0.0,17.9,1.0,5.2,16.0,327.3,36
18.0,67.3,0.0,18.9,2.0,68.5,15.9,253.7,47
21.5,74.2,0.09,21.0,3.0,37.1,14.3,290.3,57
63.7,32.3,0.0,4.8,1.0,1.7,9.9,124.7,40
81.5,15.0,0.0,12.7,1.0,0.1,9.9,362.6,17
67.6,67.4,0.0,9.8,2.0,58.2,9.9,306.6,45
68.0,68.0,0.0,8.5,2.0,60.8,9.9,299.1,37
80.2,62.4,0.0,5.5,1.0,5.0,7.0,200.2,69
74.7,70.6,0.0,5.0,5.0,94.9,7.0,83.6,74
57.4,62.3,0.0,7.2,2.0,33.2,9.9,118.7,46
16.1,71.7,0.009,10.3,6.0,99.7,16.0,77.9,49
15.8,58.4,0.0,17.1,2.0,36.2,15.9,348.1,56
20.7,72.9,0.0,10.8,2.0,56.7,13.6,339.8,79
24.6,60.2,0.0,21.3,1.0,1.4,15.9,325.4,62
17.6,66.9,0.0,22.1,1.0,0.7,16.0,209.0,21
12.2,69.2,0.0,12.0,2.0,78.5,15.2,29.7,44
13.8,55.3,0.0,6.0,1.0,2.5,15.2,78.2,69
16.6,39.8,0.0,7.7,2.0,31.4,15.7,39.4,29
15.0,62.6,0.0,13.2,1.0,2.7,15.8,231.0,31
20.7,74.1,0.0,11.9,2.0,26.2,15.3,308.0,41
28.3,55.8,0.0,11.8,1.0,8.4,15.8,142.8,61
21.0,69.2,0.0,17.9,2.0,59.7,15.9,213.1,55
15.1,93.1,10.288,12.6,6.0,99.8,8.2,26.8,18
13.2,62.0,0.0,12.3,2.0,27.4,15.7,74.0,33
11.2,72.3,9.533,11.6,3.0,64.4,14.8,142.4,31
16.5,64.8,0.0,20.3,1.0,5.4,16.0,196.5,26
17.5,68.6,0.0,13.1,2.0,26.1,15.7,239.9,31
17.1,72.6,0.0,12.1,1.0,18.4,15.2,239.6,42
24.0,70.0,0.0,20.1,1.0,8.7,14.7,186.9,61
22.8,70.9,0.0,15.6,2.0,73.5,16.0,136.4,44
22.8,71.0,0.0,11.9,1.0,3.8,15.4,173.8,56
18.2,53.2,0.364,17.1,4.0,19.6,15.7,64.2,22
16.5,47.7,0.0,14.7,2.0,42.3,15.7,167.8,32
22.6,68.1,0.0,21.3,1.0,8.5,15.5,310.3,52
20.1,75.3,0.0,21.7,2.0,58.8,13.3,268.6,57
18.0,72.0,0.0,15.0,2.0,29.3,10.9,165.8,77
15.0,38.4,0.0,11.0,2.0,47.5,15.6,60.4,32
59.5,62.1,0.002,6.2,3.0,48.8,9.9,163.3,24
62.5,63.0,0.0,6.8,2.0,51.9,7.2,193.2,44
81.8,21.0,0.0,8.8,1.0,0.8,9.9,372.5,14
68.9,67.8,0.0,13.0,1.0,2.1,9.8,329.3,54
79.7,53.9,0.0,8.3,1.0,1.4,9.5,298.5,44
69.6,69.7,0.0,14.7,1.0,2.4,8.8,273.6,46
68.9,74.9,0.0,5.7,2.0,44.8,7.5,166.8,82
